Age,Lumped_Age,Genus,Species,Size,Clade1,Clade2,McHenry_shape1,McHenry_shape2,Pierce_shape,Shape,Shape_clade,image
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_CSUC1633m_Dorsal.jpg'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_CUSC1617_Dorsal.jpg'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.25,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_CUSC1633b_Dorsal.jpg'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_CUSC1633n_Dorsal.jpg'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.25,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_CUSC1647_Dorsal.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1900-9-22-2.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1904-10-10-1.jpg'
Adult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1907-12-30-5.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1927-4-23-1.jpg'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1927-4-23-2.jpg'
Juvenile,two,Crocodylus,C. niloticus,2,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1931-5-3-1.jpg'
Subadult,three,Crocodylus,C. niloticus,2.25,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1931-5-3-2.jpg'
Adult,three,Crocodylus,C. niloticus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1949 - 1-1-2.jpg'
Adult,three,Crocodylus,C. niloticus,2.75,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1967-10-76.jpg'
