Age,Lumped_Age,Genus,Species,Size,Clade1,Clade2,McHenry_shape1,McHenry_shape2,Pierce_shape,Shape,Shape_clade,image
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633g_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633o_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1651_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1653_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_2585_dorsal_palateflat.jpg'
Mid-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_e71_dorsal_palateflat.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_028_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_029_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_031_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_032_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_034_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_035_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_036_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_037_dorsal_flatst.jpg'
Late-Stage Embryo,one,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'ZUF_038_dorsal_flatst.jpg'
Mid-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_E32_1_dorsal.tif'
Mid-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_E37_1_dorsal.tif'
Mid-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_E37_2_dorsal.tif'
Mid-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_E42_2_dorsal.tif'
Mid-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_E46_1_dorsal.tif'
Late-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_E50_2_dorsal.tif'
Late-Stage Embryo,one,Alligator,A. mississippiensis,1.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_E70_1_dorsal.tif'
Subadult,three,Alligator,A. mississippiensis,2.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_mississippiensis_UCMP_131080_dorsal_merged.jpg'
Hatchling,two,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_sinensis_ZUF042_dorsal.tif'
Hatchling,two,Alligator,A. sinensis,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'A_sinensis_ZUF043_dorsal.tif'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633e_dorsal.tif'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633h_dorsal.tif'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633i_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633j_dorsal.tif'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633k_dorsal.tif'
Mid-Stage Embryo,one,Crocodylus,C. moreletii,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_moreletti_1633l_dorsal.tif'
Hatchling,two,Crocodylus,C. niloticus,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_1910_3_15_1_dorsal.tif'
Subadult,three,Crocodylus,C. niloticus,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_UCMP_137149_688.JPG'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_UCMP_140795_632.JPG'
Subadult,three,Crocodylus,C. niloticus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_niloticus_UCMP_140796_609.JPG'
Late-Stage Embryo,one,Crocodylus,C. novaeguineae,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaguineae_ZUF025_dorsal_flatpalate.tif'
Late-Stage Embryo,one,Crocodylus,C. novaeguineae,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaguineae_ZUF026_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. novaeguineae,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Long_Narrow,Slender,Slender,'C_novaguineae_ZUF027_dorsal.tif'
Hatchling,two,Crocodylus,C. palustris,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_1905_3_25_1_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. palustris,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_palustris_1934_11_9_5_dorsal.tif'
Subadult,three,Crocodylus,C. porosus,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_UCMP_123090_dorsal_merged.jpg'
Hatchling,two,Crocodylus,C. porosus,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,'C_porosus_ZUF045_dorsal.tif'
Subadult,three,Crocodylus,C. rhombifer,2.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_rhombifer_UCMP_81703_dorsalmerged.jpg'
Hatchling,two,Crocodylus,C. rhombifer,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_rhombifer_ZUF046_dorsal.tif'
Hatchling,two,Crocodylus,C. rhombifer,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_rhombifer_ZUF048_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF014_dorsal.tif'
Late-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF017_dorsal_flatpalate.tif'
Mid-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF020_dorsal_flatpalate.tif'
Mid-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF021_dorsal_flatpalate.tif'
Mid-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF022_dorsal_flatpalate.tif'
Mid-Stage Embryo,one,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF023_dorsal.tif'
Hatchling,two,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF039_dorsal.tif'
Hatchling,two,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF040_dorsal.tif'
Hatchling,two,Crocodylus,C. siamensis,1.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Broad,Moderate,Moderate: Crocodylidae,'C_siamensis_ZUF041_dorsal.tif'
Mid-Stage Embryo,one,Caiman,Caiman crocodilus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_1898_10_11_1&2_cranium1_dorsal.tif'
Mid-Stage Embryo,one,Caiman,Caiman crocodilus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_1898_10_11_1&2_cranium2_dorsal.tif'
Juvenile,two,Caiman,Caiman crocodilus,2,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_sclerops_UCMP_138038_dorsal_merged.jpg'
Subadult,three,Caiman,Caiman crocodilus,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_UCMP_123095_740.JPG'
Juvenile,two,Caiman,Caiman crocodilus,2,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_UCMP_123096_797.JPG'
Juvenile,two,Caiman,Caiman crocodilus,2,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_UCMP_123097_dorsal_merged.jpg'
Subadult,three,Caiman,Caiman crocodilus,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_UCMP_42843_693.JPG'
Late-Stage Embryo,one,Caiman,Caiman crocodilus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_crocodilus_ZUF058_dorsal.tif'
Late-Stage Embryo,one,Caiman,Caiman latirostris,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Caiman_latirostris_ZUF057_dorsal.tif'
Hatchling,two,Caiman,Caiman crocodilus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_sclerops_1931_10_18_185_dorsal.tif'
Juvenile,two,Caiman,Caiman crocodilus,2,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_sclerops_apaporiensis_UCMP_42842_dorsal_merged.jpg'
Adult,three,Caiman,Caiman crocodilus,3.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_sclerops_apaporiensis_UCMP_42844_664.JPG'
Juvenile,two,Caiman,Caiman crocodilus,2,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_sclerops_UCMP_123098_dorsal_merged.jpg'
Late-Stage Embryo,one,Caiman,Caiman yacare,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Mesorostrine,Short_Broad,Blunt,Blunt,'Caiman_yacare_1962_4_dorsal.tif'
Mid-Stage Embryo,one,Gavialis,G. gangeticus,1.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'G_gangeticus_ZUF049_dorsal.tif'
Hatchling,two,Gavialis,G. gangeticus,1.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'Gavialis_49_9_6_2_dorsal.tif'
Hatchling,two,Gavialis,G. gangeticus,1.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,'Gavialis_J_dorsal.tif'
Hatchling,two,Mecistops,M. cataphractus,1.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_1908_5_24_4_dorsal.tif'
Mid-Stage Embryo,one,Mecistops,M. cataphractus,1.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'M_cataphractus_1953_1_11_30_dorsal.tif'
Adult,three,Melanosuchus,Melanosuchus niger,3.5,Alligatoroidea,Alligatoroidea,Mesorostrine,Mesorostrine,Short_Broad,Blunt,Blunt,'Melanosuchus_YPM_R_11458_583.JPG'
Late-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_ZUF050_dorsal.tif'
Late-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_ZUF051_dorsal.tif'
Late-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'O_tetraspis_ZUF052_dorsal.tif'
Hatchling,two,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Osteolaemus_1912_6_11_1_dorsal.tif'
Hatchling,two,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Osteolaemus_1971_236_dorsal.tif'
Mid-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Osteolaemus_ZOT_002_dorsal.tif'
Late-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Osteolaemus_ZOT_003_dorsal.tif'
Late-Stage Embryo,one,Osteolaemus,O. tetraspis,1.5,Crocodyloidea,Crocodyloidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,'Osteolaemus_ZOT_004_dorsal.tif'
Late-Stage Embryo,one,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,'P_palpebrosus_COTW1_6_cranium1_dorsal.tif'
Late-Stage Embryo,one,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,'P_palpebrosus_COTW1_6_cranium2_dorsal.tif'
Hatchling,two,Paleosuchus,P. trigonatus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'P_trigonatus_69_5_21_30_dorsal.tif'
Late-Stage Embryo,one,Paleosuchus,P. trigonatus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'P_trigonatus_ZUF053_dorsal.tif'
Late-Stage Embryo,one,Paleosuchus,P. trigonatus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Narrow,Moderate,Moderate: Alligatoridae,'P_trigonatus_ZUF054_dorsal.tif'
Hatchling,two,Tomistoma,T. schlegelii,1.5,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'Tomistoma_1863_10_4_1_dorsal.tif'
Subadult,three,Tomistoma,T. schlegelii,2.5,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,'Tomistoma_UCMP_81702_481.JPG'
Subadult,three,Paleosuchus,P. palpebrosus,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_UF_62509.jpg'
Subadult,three,Paleosuchus,P. palpebrosus,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_UF_75020.jpg'
Adult,three,Paleosuchus,P. palpebrosus,2.75,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_UF_75023.jpg'
Subadult,three,Paleosuchus,P. palpebrosus,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_UF_87980.jpg'
Subadult,three,Caiman,Caiman latirostris,2.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Blunt,Blunt,‘Caiman_latirostris_2009_1_dorsal.jpg'
Adult,three,Crocodylus,C. porosus,3.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,‘Crocodilus_porosus_1847_3_5_33_dorsal.jpg'
Adult,three,Crocodylus,C. porosus,3.5,Crocodyloidea,Crocodyloidea,Mesorostrine,Mesorostrine,Short_Narrow,Moderate,Moderate: Crocodylidae,‘Crocodilus_porosus_no_number_dorsal.jpg'
Adult,three,Gavialis,G. gangeticus,3.5,Gavialoidea,Gavialoidea,Longirostrine,Longirostrine,Long_Broad,Slender,Slender,‘G_gangeticus_704_dorsal.jpg'
Mid-Stage Embryo,one,Mecistops,M. cataphractus,1.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘M_cataphractus_1953_1_11_31_dorsal.tif'
Mid-Stage Embryo,one,Mecistops,M. cataphractus,1.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘M_cataphractus_1953_1_11_32_dorsalL.tif'
Late-Stage Embryo,one,Mecistops,M. cataphractus,1.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘M_cataphractus_1953_1_11_33_dorsal.tif'
Mid-Stage Embryo,one,Mecistops,M. cataphractus,1.5,Crocodyloidea,Crocodyloidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘M_cataphractus_1953_1_11_38_dorsal.tif'
Mid-Stage Embryo,one,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_54D_30C_dorsal.tif'
Mid-Stage Embryo,one,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_54D_32C_dorsal.tif'
Hatchling,two,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_66_8_14_213_dorsal.tif'
Hatchling,two,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_COTW_II_dorsal.tif'
Hatchling,two,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_COTW_IX_dorsal.tif'
Late-Stage Embryo,one,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_COTW_V_dorsal.tif'
Late-Stage Embryo,one,Paleosuchus,P. palpebrosus,1.5,Alligatoroidea,Alligatoroidea,Brevirostine,Brevirostine,Short_Broad,Moderate,Moderate: Alligatoridae,‘P_palpebrosus_COTW_VIII_dorsal.tif'
Adult,three,Tomistoma,T. schlegelii,3.5,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘T_schlegelii_1894_2_21_1_dorsal.jpg'
Late-Stage Embryo,one,Tomistoma,T. schlegelii,1.5,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘T_schlegelii_COTW_III_dorsal.tif'
Late-Stage Embryo,one,Tomistoma,T. schlegelii,1.5,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘T_schlegelii_COTW_IImaybe_dorsal.tif'
Late-Stage Embryo,one,Tomistoma,T. schlegelii,1.5,Crocodyloidea,Gavialoidea,Longirostrine,Longirostrine,Long_Narrow,Slender,Slender,‘T_schlegelii_COTW_Imaybe_dorsal.tif'
